"Source:","/home/mark/repositories/grbl_controller/pcb/grbl_controller.kicad_sch"
"Date:","Tue 03 Oct 2023 13:03:26"
"Tool:","Eeschema 7.0.7"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","40"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","637-OC_MOUSER","MPN","OC_LCSC","OC_MOUSER"
"1","6","C1, C2, C3, C4, C5, C6","100nf","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","",""
"2","3","D1, D2, D3","DNI","Device:D_Zener","Diode_SMD:D_SOD-123","~","DNP","","","",""
"3","6","D4, D5, D6, D7, D8, D9","BZT52C6V8","Device:D_Zener","Diode_SMD:D_SOD-123","~","","637-BZT52C6V8","","","637-BZT52C6V8"
"4","1","J1","DA15_Plug_MountingHoles","Connector:DA15_Plug_MountingHoles","Connector_Dsub:DSUB-15_Male_Horizontal_P2.77x2.84mm_EdgePinOffset9.90mm_Housed_MountingHolesOffset11.32mm"," ~","","","L717SDA15P1ACH4R ","","523-L717SDA15P1ACH4R "
"5","4","R1, R4, R6, R8","330R","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","",""
"6","4","R2, R3, R5, R7","1K","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","",""
"7","9","R9, R10, R11, R12, R13, R14, R15, R16, R17","22R","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","",""
"8","1","U1","PM254-1-18-Z-8.5 (QTY 2)","custom_module:firebeetle_esp32","custom_module:firebeetle_esp32","https://datasheet.lcsc.com/lcsc/2306091006_HCTL-PM254-1-18-Z-8-5_C2897381.pdf","","","","C2897381 (QTY 2)",""
"9","4","U2, U3, U4, U5","EL817","Isolator:EL817","Package_DIP:DIP-4_W7.62mm","http://www.everlight.com/file/ProductFile/EL817.pdf","","","","","630-HCPL-817-00CE "
"10","2","U6, U7","74LS07","74xx:74LS07","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","www.ti.com/lit/ds/symlink/sn74ls07.pdf","","","","","595-SN74LS07DR"
